	Root.full_L1	Shoot.full_L1	Flower.pre_L1	Flower.early_L1	Flower.mid_L1
gi|351617474|gb|JP471775.1|	80.9120172481808	122.526107202668	52.4444631594779	47.1783801327858	5.35981935229754
gi|351621869|gb|JP476170.1|	316.712753228593	59.1209887900984	89.7912778336515	73.5104992766663	246.551690205687
gi|351604171|gb|JP458524.1|	6257.96659116644	1861.88273392585	2243.98733276311	2810.95371860924	2787.10606319472
gi|351604969|gb|JP459317.1|	2.31177192137659	0.85682592449418	3.17845231269563	0	2.14392774091902
gi|351615499|gb|JP469800.1|	1.1558859606883	2.57047777348254	3.97306539086954	19.7490893579103	27.8710606319472
gi|351616001|gb|JP470302.1|	107.497394344012	1.71365184898836	0	0	9.64767483413558
gi|351611775|gb|JP466076.1|	63.5737278378564	8727.62886689771	9332.73060315254	9735.20388181881	1764.45253077635
gi|351624058|gb|JP478359.1|	71.6649295626744	4064.78218580039	2461.71131618276	2902.01896398183	393.41074045864
gi|351617153|gb|JP471454.1|	240.424279823166	72.8302035820053	23.0437792670433	105.328476575522	10.7196387045951
gi|351629287|gb|JP482170.1|	23649.4267556826	14918.1961713682	16009.8642990479	17079.6707796995	19729.4950358073
gi|351599906|gb|JP454387.1|	63.5737278378564	93.3940257698656	130.316544820521	103.134133313532	66.4617599684895
gi|351614792|gb|JP469093.1|	779.067137503912	1447.17898647067	1369.11833369364	1048.89607923124	305.50970308096
gi|351615707|gb|JP470008.1|	101.71796454057	133.664844221092	112.835057100695	102.036961682537	80.3972902844632
gi|351610882|gb|JP465183.1|	35.8324647813372	4.2841296224709	11.9191961726086	32.9151489298506	9.64767483413558
gi|351608765|gb|JP463069.1|	4.62354384275319	21.4206481123545	19.0707138761738	0	8.57571096367607
gi|351611847|gb|JP466148.1|	939.735286039586	1172.13786470804	1580.4854124879	1181.65384658164	1047.30870143894
gi|351611119|gb|JP465420.1|	4.62354384275319	19.7069962633661	20.6599400325216	66.9274694906962	65.38979609803
gi|351607240|gb|JP461562.1|	8.09120172481808	0	5.56229154721735	0	0
gi|351618388|gb|JP472689.1|	323.648068992723	150.801362710976	170.84181180739	211.754124782039	443.793042370237
gi|351600433|gb|JP454901.1|	0	4.2841296224709	18.2761007979999	5.4858581549751	6.43178322275705
gi|351605680|gb|JP460023.1|	414.963059887099	399.280880814288	541.131506236431	536.516927556564	486.671597188617
gi|351619764|gb|JP474065.1|	146.797517007414	782.282069063186	129.521931742347	172.255946066218	262.63114826258
gi|351603013|gb|JP457373.1|	35.8324647813372	33.416211055273	19.0707138761738	20.8462609889054	22.5112412796497
gi|351608119|gb|JP462429.1|	97.094420697817	46.2685999226857	113.629670178869	84.4822155866165	216.536701832821
gi|351625545|gb|JP479846.1|	56.6384120737266	81.3984628269471	46.0875585340866	73.5104992766663	51.4542657820564
gi|351596769|gb|JP451323.1|	0	180.790270068272	202.626334934346	690.120955895867	124.347808973303
gi|351598130|gb|JP452662.1|	395.312998555398	170.508358974342	151.771097931216	227.114527615969	264.775076003499
gi|351625286|gb|JP479587.1|	981.347180624364	932.226605849668	855.798285193298	1084.00557142308	1105.19475044375
gi|351610659|gb|JP464960.1|	120.212139911583	50.5527295451566	56.4175285503474	19.7490893579103	10.7196387045951
gi|351628838|gb|JP481721.1|	6484.52023946135	2316.85729983226	2723.13901890198	2972.23794836551	4336.09385600871
gi|351609530|gb|JP463831.1|	233.488964059036	38.5571666022381	23.0437792670433	60.3444397047261	100.764603823194
gi|351602955|gb|JP457315.1|	425.366033533293	198.78361448265	212.161691872433	0	190.809568941793
gi|351601599|gb|JP456041.1|	0	0	0	0	3.21589161137853
gi|351606381|gb|JP460709.1|	34.6765788206489	11.9955629429185	3.97306539086954	8.77737304796016	25.7271328910282
gi|351620524|gb|JP474825.1|	343.298130324424	472.111084396293	391.744247539736	468.492286434873	317.301305656015
gi|351628940|gb|JP481823.1|	2267.84825487044	595.494017523455	472.794781513475	563.94621833144	1212.3911374897
gi|351625338|gb|JP479639.1|	0	3.42730369797672	5.56229154721735	5.4858581549751	3.21589161137853
gi|351619758|gb|JP474059.1|	1856.35285286541	1.71365184898836	2.38383923452172	0	60.0299767457325
gi|351595656|gb|JP450222.1|	0	23.1342999613429	13.5084223289564	3.29151489298506	10.7196387045951
gi|351614478|gb|JP468779.1|	115.58859606883	18.850170338872	45.2929454559127	21.9434326199004	56.814085134354
gi|351607609|gb|JP461929.1|	17.3382894103245	18.850170338872	15.8922615634781	23.0406042508954	152.21886960525
gi|351620968|gb|JP475269.1|	272.789086722438	324.737025383294	285.266095064433	264.4183630698	256.199365039823
gi|351600784|gb|JP455245.1|	1.1558859606883	11.1387370184243	29.4006838924346	48.2755517637809	11.7916025750546
gi|351610088|gb|JP464389.1|	11.558859606883	43.6981221492032	20.6599400325216	16.4575744649253	31.0869522433258
gi|351616455|gb|JP470756.1|	110.965052226077	285.323032856562	239.97314960852	375.232697800297	228.328304407875
gi|351614548|gb|JP468849.1|	94.7826487764404	180.790270068272	157.333389478434	187.616348900148	177.946002496278
gi|351621253|gb|JP475554.1|	664.634427395771	3137.69653549769	3632.17638033293	3724.89768722809	1538.2681541094
gi|351600477|gb|JP454944.1|	6603.57649341224	3575.53458291421	2919.40844921093	3248.72519937625	3518.18542284811
gi|351604466|gb|JP458817.1|	0	26.5616036593196	42.909106221391	9.87454467895517	17.1514219273521
gi|351610828|gb|JP465129.1|	31.208920938584	66.832422110546	141.441127914955	50.4698950257709	27.8710606319472
gi|351620491|gb|JP474792.1|	1214.8361446834	1061.60732044829	1098.94988711451	1031.34133313532	874.722518294959
gi|351621455|gb|JP475756.1|	6.93531576412978	8.5682592449418	15.8922615634781	7.68020141696514	9.64767483413558
gi|351628945|gb|JP481828.1|	679.660944884719	725.73155804657	909.03736143095	1092.78294447104	896.161795704149
gi|351610980|gb|JP465281.1|	411.495402005034	150.801362710976	342.478236692954	65.8302978597012	71.8215793207871
gi|351604652|gb|JP459002.1|	0	0	3.17845231269563	0	0
gi|351625457|gb|JP479758.1|	149.10928892879	14.5660407164011	2.38383923452172	0	169.370291532602
gi|351607706|gb|JP462025.1|	8.09120172481808	192.78583301119	165.279520260173	216.142811306019	197.24135216455
gi|351599271|gb|JP453770.1|	0	1310.0868385516	1245.15869349851	257.83533328383	58.958012875273
gi|351602058|gb|JP456491.1|	0	2037.53204844716	1400.9028568206	3137.91086464576	1721.57397595797
gi|351617599|gb|JP471900.1|	3435.29307516562	8240.95174178502	7230.18439830438	6820.01885826504	3528.9050615527
gi|351603829|gb|JP458184.1|	58.9501839951032	863.680531890133	1149.80512411764	942.470431024722	237.975979242011
gi|351595712|gb|JP450277.1|	1421.73973164661	1507.15680118526	1822.04778825277	1311.12009903905	1703.35059016016
gi|351616912|gb|JP471213.1|	1250.66860946474	684.60391367085	2085.85933020651	2803.27351719227	724.647576430628
gi|351600600|gb|JP455064.1|	472.757357921514	267.329688442184	216.134757263303	181.033319114178	367.683607567611
gi|351602509|gb|JP456932.1|	6.93531576412978	85.682592449418	11.9191961726086	29.6236340368655	3.21589161137853
gi|351617113|gb|JP471414.1|	2078.28295731756	1577.41652699378	1736.22957580999	1598.57906635974	2183.59040412602
gi|351597150|gb|JP451700.1|	1508.43117869823	1086.45527225862	1329.38767978495	1317.70312882502	1100.90689496192
gi|351609602|gb|JP463903.1|	23.1177192137659	21.4206481123545	52.4444631594779	19.7490893579103	5.35981935229754
gi|351629202|gb|JP482085.1|	0	143.946755315022	156.53877640026	0	108.26835091641
gi|351605164|gb|JP459511.1|	9.24708768550638	0	0	0	0
gi|351608946|gb|JP463247.1|	40.4560086240904	18.850170338872	55.6229154721735	25.2349475128854	33.2308799842448
gi|351598501|gb|JP453019.1|	4.62354384275319	0	7.15151770356516	0	6.43178322275705
gi|351619708|gb|JP474009.1|	290.127376132763	213.349655199051	303.542195862432	179.936147483183	380.547174013126
gi|351610413|gb|JP464714.1|	62.4178418771681	108.816892410761	147.798032540347	127.271909195422	17.1514219273521
gi|351597888|gb|JP452425.1|	345.609902245801	394.139925267323	412.404187572258	356.580780073381	226.184376666956
gi|351627299|gb|JP480182.1|	136.394543361219	3475.28594974839	3547.15278096832	2761.58099521446	1797.6834107606
gi|351604791|gb|JP459140.1|	0	0	0	0	0
gi|351600534|gb|JP455001.1|	23.1177192137659	15.4228666408952	12.7138092507825	0	1.07196387045951
gi|351600200|gb|JP454672.1|	7721.31821739783	2223.4632740624	1806.15552668929	2067.07135279462	2828.91265414264
gi|351624588|gb|JP478889.1|	1523.45769618718	504.670469527072	305.926035096954	495.921577209749	215.464737962361
gi|351607399|gb|JP461720.1|	0	0	0	0	15.0074941864331
gi|351609902|gb|JP464203.1|	31.208920938584	66.832422110546	24.6330054233911	40.5953503468157	40.7346270774613
gi|351612955|gb|JP467256.1|	84.3796751302457	119.955629429185	120.781187882434	97.6482751585567	112.556206398248
gi|351621582|gb|JP475883.1|	298.218577857581	600.63497307042	302.747582784259	379.621384324277	332.308799842448
gi|351597331|gb|JP451879.1|	15.0265174889479	1619.400997294	1355.60991136469	1848.73419822661	347.316294028881
gi|351597533|gb|JP452078.1|	108.6532803047	37.7003406777439	41.3198800650432	109.717163099502	36.4467715956233
gi|351624633|gb|JP478934.1|	3460.72256630076	4657.70572555036	6650.9114643156	5371.75230535162	9633.7393038196
gi|351624123|gb|JP478424.1|	742.078786761887	879.103398531028	976.579473075732	810.809835305319	672.121346778112
gi|351597790|gb|JP452329.1|	90.1591049336872	470.397432547305	432.269514526605	483.852689268804	115.772098009627
gi|351617700|gb|JP472001.1|	1249.51272350405	1093.30987965457	947.178789183297	1074.13102674412	827.556107994741
gi|351623549|gb|JP477850.1|	3609.83185522955	1465.17233088505	1787.08481281312	1232.12374160741	3391.69368613389
gi|351597813|gb|JP452352.1|	179.162323906686	3256.79533900238	1037.76468009512	2121.92993434437	1248.83790908533
gi|351599664|gb|JP454153.1|	3868.75031042373	3843.72109728089	4769.26769519979	4146.21159353018	3166.58127333739
gi|351623060|gb|JP477361.1|	12.7147455675713	0	6.35690462539126	8.77737304796016	3.21589161137853
gi|351609367|gb|JP463668.1|	48.5472103489085	191.072181162202	283.676868908085	385.107242479252	60.0299767457325
gi|351616784|gb|JP471085.1|	28.8971490172074	46.2685999226857	69.9259508793038	63.6359545977111	76.1094348026251
gi|351623936|gb|JP478237.1|	1266.85101291437	740.297598762971	867.717481365906	972.094065061587	1339.95483807439
gi|351625786|gb|JP480087.1|	52.0148682309734	251.906821801289	251.097732702955	144.826655291343	126.491736714222
gi|351598955|gb|JP453460.1|	16.1824034496362	41.9844703002148	38.1414277523475	119.591707778457	64.3178322275705
gi|351613237|gb|JP467538.1|	718.961067548121	516.66603246999	998.034026186427	742.785194183628	1824.48250752208
gi|351623849|gb|JP478150.1|	580.254752265525	1244.96806829004	843.084475942515	1032.43850476631	747.158817710278
gi|351622877|gb|JP477178.1|	491.251533292526	455.831391830904	286.85532122078	315.985429726566	1051.59655692078
gi|351599518|gb|JP454010.1|	131.770999518466	1184.99025357545	1075.90610784747	1043.41022107626	356.963968863016
gi|351612326|gb|JP466627.1|	181.474095828063	67.6892480350402	133.494997133216	123.980394302437	115.772098009627
gi|351606283|gb|JP460612.1|	0	18.850170338872	19.8653269543477	5.4858581549751	12.8635664455141
gi|351614379|gb|JP468680.1|	1548.88718732232	884.244354077994	876.458225225819	1040.11870618328	780.389697694522
gi|351622151|gb|JP476452.1|	1088.84457496838	2974.89960984379	2886.03469992763	2978.82097815148	1419.28016448839
gi|351602546|gb|JP456967.1|	64.7296137985446	0	0	17.5547460959203	1.07196387045951
gi|351597390|gb|JP451937.1|	2905.89730517038	1909.00815977303	2241.60349352859	1552.49785785795	1839.49000170852
gi|351609671|gb|JP463972.1|	32.3648068992723	29.9889073572963	8.74074385991298	14.2632312029353	57.8860490048135
gi|351596763|gb|JP451317.1|	1469.13105603483	1157.57182399164	948.768015339645	1107.04617567397	2550.20204782317
gi|351597772|gb|JP452312.1|	811.431944403185	2085.51430021883	432.269514526605	928.207199821787	481.311777836319
gi|351615384|gb|JP469685.1|	34.6765788206489	11.1387370184243	22.2491661888694	2.19434326199004	9.64767483413558
gi|351623179|gb|JP477480.1|	924.708768550638	977.638379847859	1002.80170465547	867.86276011706	500.607127504591
gi|351597460|gb|JP452006.1|	13.8706315282596	4.2841296224709	7.94613078173907	17.5547460959203	0
gi|351597104|gb|JP451655.1|	61.2619559164798	53.1232073186391	43.7037192995649	20.8462609889054	45.0224825592994
gi|351591580|gb|JP450026.1|	428.833691415358	90.8235479963831	106.478152475304	181.033319114178	415.921981738289
gi|351608107|gb|JP462418.1|	0	7.71143332044762	29.4006838924346	7.68020141696514	34.3028438547043
gi|351623024|gb|JP477325.1|	1128.14469763178	819.98240974093	751.703971952516	844.822155866165	738.583106746602
gi|351614537|gb|JP468838.1|	64.7296137985446	586.925758278513	345.65668900565	905.166595570891	2285.42697181967
gi|351597567|gb|JP452111.1|	15.0265174889479	0	0	1.09717163099502	1.07196387045951
gi|351600193|gb|JP454665.1|	267.009656918997	88.2530702229005	131.111157898695	122.883222671442	185.449749589495
gi|351609971|gb|JP464272.1|	13.8706315282596	74.5438554309936	75.4882424265212	52.6642382877609	37.5187354660828
gi|351617916|gb|JP472217.1|	0	0	0	25.2349475128854	27.8710606319472
gi|351600741|gb|JP455203.1|	2114.1154220989	1401.76721247248	2038.18254551607	1020.36961682537	2347.60087630632
gi|351618741|gb|JP473042.1|	915.461680865131	1322.08240149452	927.31346222895	1237.60959976238	1028.01335177067
gi|351616374|gb|JP470675.1|	1016.02375944501	1196.12899059387	916.983492212689	1413.15706072159	1143.7854497803
gi|351620083|gb|JP474384.1|	873.849786280353	682.890261821861	921.751170681732	658.302978597012	1122.34617237111
gi|351629211|gb|JP482094.1|	0	0	0	6.58302978597012	6.43178322275705
gi|351624869|gb|JP479170.1|	402.248314319527	78.8279850534645	72.3097901138255	222.725841091989	41.8065909479208
gi|351597898|gb|JP452435.1|	30.0530349778957	53.9800332431333	54.0336893158257	63.6359545977111	38.5906993365423
gi|351607127|gb|JP461450.1|	15.0265174889479	3.42730369797672	3.17845231269563	62.5387829667161	0
gi|351602607|gb|JP457028.1|	46.2354384275319	1.71365184898836	1.58922615634781	15.3604028339303	2.14392774091902
gi|351610221|gb|JP464522.1|	0	204.781395954109	103.299700162608	39.4981787158207	4.28785548183803
gi|351600203|gb|JP454675.1|	0	25.7047777348254	9.53535693808688	5.4858581549751	3.21589161137853
gi|351617397|gb|JP471698.1|	604.52835743998	737.727120989489	1058.42462012764	665.983180013977	1045.16477369802
gi|351629380|gb|JP482263.1|	1169.75659221656	1835.32113026653	1214.16878344973	1778.51521384293	1095.54707560962
gi|351596852|gb|JP451406.1|	1760.41431812828	1438.61072722573	1241.98024118582	1401.08817278064	1395.69695933828
gi|351603175|gb|JP457534.1|	0	44.5549480736973	41.3198800650432	119.591707778457	62.1739044866515
gi|351605959|gb|JP460298.1|	371.039393380943	197.926788558156	255.070798093824	309.402399940596	69.6776515798681
gi|351613717|gb|JP468018.1|	251.983139430049	407.84914005923	392.53886061791	335.734519084476	254.055437298904
gi|351610647|gb|JP464948.1|	25.4294911351425	23.991125885837	28.6060708142607	5.4858581549751	13.9355303159736
gi|351602529|gb|JP456950.1|	69.3531576412978	27.4184295838138	16.686874641652	58.150096442736	215.464737962361
gi|351606522|gb|JP460849.1|	2.31177192137659	0	0	4.38868652398008	5.35981935229754
gi|351600742|gb|JP455204.1|	807.96428652112	759.147769101843	482.330138451562	241.377758818904	881.154301517716
gi|351605416|gb|JP459761.1|	0	0	0	0	8.57571096367607
gi|351597520|gb|JP452065.1|	2251.6658514208	1615.11686767153	862.949802896863	827.267409770245	399.842523681397
gi|351624488|gb|JP478789.1|	9816.93946412571	4410.93985929604	4316.33824064066	5414.54199896042	10254.4063848157
gi|351612918|gb|JP467219.1|	0	13.7092147919069	49.2660108467822	0	27.8710606319472
gi|351591630|gb|JP450076.1|	5688.11481254711	1980.98153743054	1998.45189160738	2248.10467190879	3991.99345359121
