	Root.full_L1	Shoot.full_L1	Flower.pre_L1	Flower.early_L1	Flower.mid_L1
gi|351617474|gb|JP471775.1|	126.238994079224	210.493321052599	93.5573459493642	76.2498840477687	8.41820266837204
gi|351621869|gb|JP476170.1|	303.867313181849	45.4176460362455	63.9708348371721	58.3087348600584	169.416328700987
gi|351604969|gb|JP459317.1|	1.11715923963915	0	0.799635435464651	0	1.0522753335465
gi|351604171|gb|JP458524.1|	7559.81657463814	1796.61726724148	2336.53474242771	2781.99944591933	3131.5713926344
gi|351616001|gb|JP470302.1|	203.322981614326	0.873416269927799	0	0	17.8886806702906
gi|351615499|gb|JP469800.1|	1.11715923963915	0.873416269927799	1.5992708709293	6.72793094539136	10.522753335465
gi|351611775|gb|JP466076.1|	70.3810320972666	13322.2183652087	14156.7457494662	14232.9379149754	2465.48110649946
gi|351624058|gb|JP478359.1|	79.3183060143798	6439.69815817766	3866.23733047159	4446.04103307945	559.810477446741
gi|351629287|gb|JP482170.1|	24540.6370171533	15476.9363031206	16793.9434156286	17991.6086698007	20221.5750847632
gi|351617153|gb|JP471454.1|	50.2721657837619	42.7973972264621	8.79598979011116	67.2793094539136	11.5750286690116
gi|351615707|gb|JP470008.1|	30.1632994702571	31.4429857174008	39.9817717732326	57.1874130358265	27.3591586722091
gi|351614792|gb|JP469093.1|	1273.56153318863	2458.66679984675	2305.34896044459	1738.04882755943	487.203479432032
gi|351599906|gb|JP454387.1|	90.4898984107713	151.974430967437	223.098286494638	165.95562998632	107.332084021743
gi|351610882|gb|JP465183.1|	16.7573885945873	0	3.99817717732326	13.4558618907827	3.15682600063951
gi|351608765|gb|JP463069.1|	0	5.24049761956679	5.59744804825256	0	3.15682600063951
gi|351611847|gb|JP466148.1|	639.015085073595	830.618872701337	991.547939976167	875.752344725108	769.213268822495
gi|351611119|gb|JP465420.1|	2.23431847927831	8.73416269927799	9.59562522557581	28.0330456057973	26.3068833386626
gi|351618388|gb|JP472689.1|	436.809262698909	151.101014697509	180.717608415011	205.201893834436	486.151204098485
gi|351607240|gb|JP461562.1|	3.35147771891746	0	0.799635435464651	0	0
gi|351619764|gb|JP474065.1|	155.285134309842	1110.11207907823	188.713962769658	259.025341397567	333.571280734242
gi|351605680|gb|JP460023.1|	531.767798068237	430.594221074405	596.52803485663	577.480739479425	554.549100779008
gi|351600433|gb|JP454901.1|	0	6.11391388949459	19.9908858866163	6.72793094539136	8.41820266837204
gi|351603013|gb|JP457373.1|	45.8035288252052	37.5568996068953	19.9908858866163	20.1837928361741	21.0455066709301
gi|351608119|gb|JP462429.1|	270.352535992675	36.6834833369675	163.125628834789	102.040286005102	312.525774063312
gi|351625545|gb|JP479846.1|	60.3265989405142	75.9872154837185	47.9781261278791	74.0072403993049	57.8751433450578
gi|351598130|gb|JP452662.1|	179.862637581904	48.9113111159567	43.9799489505558	108.768216950494	126.273040025581
gi|351596769|gb|JP451323.1|	0	339.758929001914	364.633758571881	1125.80711152882	195.72321203965
gi|351625286|gb|JP479587.1|	1100.40185104457	979.099638589062	956.363980815723	1141.50561706807	1196.43705424238
gi|351610659|gb|JP464960.1|	121.770357120668	77.7340480235741	74.3660954982125	49.3381602662033	15.7841300031976
gi|351628838|gb|JP481721.1|	8746.23968713492	3723.37355870221	4339.62150826666	4660.21350150775	6385.20672396019
gi|351609530|gb|JP463831.1|	322.859020255715	60.2657226250181	35.9835945959093	89.7057459385514	135.743518027499
gi|351602955|gb|JP457315.1|	109.481605484637	28.8227369076174	38.3825009023032	0	18.9409560038371
gi|351620524|gb|JP474825.1|	334.030612652107	427.973972264621	314.256726137608	438.43683327467	270.434760721452
gi|351606381|gb|JP460709.1|	39.1005733873703	17.468325398556	7.19671891918186	14.5771837150146	35.7773613405812
gi|351601599|gb|JP456041.1|	0	0	3.99817717732326	0	0
gi|351628940|gb|JP481823.1|	3128.04587098963	619.252135378809	550.14917959968	598.785854139831	1523.69468297534
gi|351625338|gb|JP479639.1|	2.23431847927831	6.98733015942239	7.19671891918186	3.36396547269568	3.15682600063951
gi|351619758|gb|JP474059.1|	748.496690558232	0	0.799635435464651	0	18.9409560038371
gi|351595656|gb|JP450222.1|	0	24.4556555579784	13.5938024028991	2.24264364846379	22.0977820044766
gi|351614478|gb|JP468779.1|	121.770357120668	16.5949091286282	22.3897921930102	38.1249420238844	67.3456213469763
gi|351620968|gb|JP475269.1|	264.766739794479	326.657684952997	300.662923734709	269.117237815654	258.85973205244
gi|351607609|gb|JP461929.1|	5.58579619819576	1.7468325398556	7.99635435464651	13.4558618907827	47.3523900095927
gi|351600784|gb|JP455245.1|	5.58579619819576	1.7468325398556	5.59744804825256	3.36396547269568	0
gi|351616455|gb|JP470756.1|	103.895809286441	438.454967503755	357.437039652699	550.569015697859	328.30990406651
gi|351610088|gb|JP464389.1|	6.70295543783492	19.2151579384116	7.99635435464651	4.48528729692757	13.6795793361046
gi|351621253|gb|JP475554.1|	980.865812403176	5154.90282511387	5812.54998039255	5889.1822208659	2367.61950047964
gi|351614548|gb|JP468849.1|	58.0922804612359	129.265607949314	99.1547939976167	142.40787167745	125.220764692034
gi|351604466|gb|JP458817.1|	0	48.9113111159567	83.9617207237884	35.8822983754206	26.3068833386626
gi|351600477|gb|JP454944.1|	6412.49403552874	2953.02040862589	2446.08479708637	2482.60651884941	3324.13777867341
gi|351620491|gb|JP474792.1|	1228.87516360307	1029.75778224487	1129.08523487609	996.855101742153	878.649903511332
gi|351610828|gb|JP465129.1|	18.9917070738656	30.569569447473	72.7668246272833	32.5183329027249	18.9409560038371
gi|351628945|gb|JP481828.1|	685.93577313844	732.796250469423	946.768355590147	1125.80711152882	906.009062183541
gi|351621455|gb|JP475756.1|	18.9917070738656	16.5949091286282	11.9945315319698	15.6985055392465	9.47047800191854
gi|351610980|gb|JP465281.1|	287.109924587262	82.9745456431409	191.112869076052	60.5513785085222	30.5159846728486
gi|351604652|gb|JP459002.1|	0	0	0.799635435464651	0	0
gi|351625457|gb|JP479758.1|	71.4981913369058	7.86074642935019	3.1985417418586	0	102.070707354011
gi|351607706|gb|JP462025.1|	3.35147771891746	147.607349617798	128.741305109809	188.382066470958	151.527648030697
gi|351599271|gb|JP453770.1|	0	1304.0104910022	1236.23638322835	266.87459416719	51.5614913437787
gi|351617599|gb|JP471900.1|	5299.80343284814	13808.7112275585	12016.9213241628	11188.5491621858	5582.32064446421
gi|351602058|gb|JP456491.1|	1.11715923963915	2161.7052680713	1536.09967152759	3192.4032335882	1850.9523117083
gi|351603829|gb|JP458184.1|	101.661490807163	1480.44057752762	1954.30900427561	1553.03072656117	386.185047411567
gi|351595712|gb|JP450277.1|	1952.79435088924	2349.48976610578	2856.29777547973	2002.68077807816	2505.46756917423
gi|351616912|gb|JP471213.1|	1335.00529136879	695.239350862528	2185.40364512489	2779.75680227086	737.6450088161
gi|351600600|gb|JP455064.1|	6.70295543783492	20.0885742083394	31.1857819831214	25.7904019573335	52.6137666773252
gi|351602509|gb|JP456932.1|	6.70295543783492	51.5315599257401	15.992708709293	11.2132182423189	3.15682600063951
gi|351617113|gb|JP471414.1|	2677.83069741505	1973.92077003683	2127.82989377144	1936.52279044848	2778.00688056277
gi|351609602|gb|JP463903.1|	8.93727391711322	8.73416269927799	16.7923441447577	4.48528729692757	1.0522753335465
gi|351597150|gb|JP451700.1|	1626.58385291461	1103.12474891881	1402.560553805	1356.79940732059	1132.24825889604
gi|351629202|gb|JP482085.1|	0	45.4176460362455	0	0	18.9409560038371
gi|351608946|gb|JP463247.1|	2.23431847927831	6.98733015942239	14.3934378383637	3.36396547269568	10.522753335465
gi|351605164|gb|JP459511.1|	1.11715923963915	0	0	0	0
gi|351598501|gb|JP453019.1|	4.46863695855661	3.49366507971119	4.79781261278791	0	2.10455066709301
gi|351619708|gb|JP474009.1|	115.067401682833	86.4682107228521	131.140211416203	63.9153439812179	167.311778033894
gi|351610413|gb|JP464714.1|	55.8579619819576	104.809952391336	137.53729489992	105.404251477798	15.7841300031976
gi|351627299|gb|JP480182.1|	147.465019632368	3349.55139517311	3577.56893826885	2622.7717468784	1766.77028502458
gi|351597888|gb|JP452425.1|	413.348918666486	473.391618300867	518.163762181094	407.039822196177	283.06206472401
gi|351604791|gb|JP459140.1|	0	0	0	0	0
gi|351600534|gb|JP455001.1|	23.4603440324222	13.9746603188448	7.19671891918186	0	1.0522753335465
gi|351624588|gb|JP478889.1|	2185.16347273418	835.859370320903	491.77579281076	798.381138853108	307.264397395579
gi|351600200|gb|JP454672.1|	2503.55385603134	556.366163944008	511.766678697377	606.635106909454	847.081643504936
gi|351609902|gb|JP464203.1|	20.1088663135047	45.4176460362455	15.992708709293	34.7609765511887	29.4637093393021
gi|351607399|gb|JP461720.1|	0	0	0	0	9.47047800191854
gi|351621582|gb|JP475883.1|	291.578561545819	625.366049268304	311.058184395749	393.583960305394	360.930439406451
